artist,unique_songs,total_streams,songs_rank_1,number_albums,number_countries,avg_danceability,avg_speechiness,avg_acousticness,avg_valence
Lenny Tavárez,70,5.09414077E9,8,72,24,0.6876715976124297,0.18279522556627734,0.2829945321082944,0.6343852785377886
Camilo,38,5.084301357E9,4,31,31,0.7018615312607772,0.11924907211246322,0.2538348600778433,0.7484288072128878
DaBaby,46,5.058007784E9,2,19,69,0.7744206295234851,0.24483764268713315,0.19314620148637465,0.6155412396172368
Tones And I,13,5.041964162E9,1,13,69,0.7961214974432541,0.09172056154121928,0.6277562069551068,0.5193333396229952
Future,168,4.961336577E9,2,48,69,0.7415975195109459,0.3003463136197861,0.0864774641650366,0.42132114053168535
Manuel Turizo,56,4.80000907E9,5,54,40,0.7427507323290666,0.1125222389517071,0.31120655481101067,0.6591992754973482
21 Savage,73,4.724988292E9,4,25,68,0.7479539438542336,0.19632402219716272,0.09601169686628294,0.27510022256513766
Selena Gomez,38,4.690881713E9,6,24,69,0.6860391092153284,0.06804154029335192,0.18651453543904603,0.41269663862247724
Quavo,57,4.598882367E9,3,31,66,0.713127454042014,0.09946898174171918,0.17612441092582273,0.5046239439551974
Justin Quiles,84,4.442369944E9,9,72,23,0.7415210857849036,0.16156568346435055,0.17520121348391704,0.7212000961175395
David Guetta,83,4.418432628E9,5,80,68,0.6304385525924896,0.07916189986517681,0.11407783310481934,0.49896172733712574
Queen,27,4.276769965E9,1,19,66,0.5709019613825022,0.09203979458236364,0.25140304948582143,0.4408261831216873
The Kid LAROI,38,4.261759025E9,2,17,69,0.6339822284223937,0.05825919512343067,0.14043332868320443,0.4488402286650101
DJ Khaled,57,4.249831953E9,5,15,69,0.6619099611512951,0.1387011998025368,0.05956797905174808,0.5934195230838588
Jason Derulo,34,4.173667897E9,1,30,69,0.7545010047824539,0.08345739099278753,0.10040580440234859,0.7146193510195821
Darell,56,4.150966348E9,4,58,37,0.8119197838322479,0.2071965134233202,0.32694394954425465,0.6134017407979301
Dalex,71,4.045938498E9,6,51,24,0.6949379414922642,0.20298232994895227,0.30026392808032065,0.647496204343814
J. Cole,52,4.038686567E9,8,17,57,0.7532532255817193,0.2760542259997213,0.18115186568203984,0.3666341674794479
Nicki Minaj,66,3.977842888E9,3,46,66,0.7629178125196222,0.23505869487871783,0.14602125189929083,0.5305210439295954
Young Thug,112,3.835599885E9,2,38,68,0.7958882983625684,0.14497972412521876,0.14571666105496017,0.4348789591717624
Lauv,56,3.83087194E9,1,33,66,0.6817246001184832,0.1606581469687992,0.40473642439277147,0.43649867570102624
Clean Bandit,27,3.796731561E9,3,25,64,0.7139345274412413,0.04924884075655903,0.24707348630117154,0.5678367761991908
Migos,74,3.796254683E9,2,26,66,0.8802547711453985,0.19744917086313632,0.09954332376431368,0.38321213073740285
Coldplay,87,3.794958275E9,2,32,69,0.5580225244026472,0.03247656421297349,0.18469258929585664,0.36861746027552944
Martin Garrix,40,3.754677125E9,2,40,68,0.5646699530810113,0.048688683140444305,0.17424025253675385,0.2181287331873623
Wisin,56,3.751549681E9,4,56,35,0.7758016604595361,0.10375812598210837,0.14633487831132957,0.6487418121527814
ROSALÍA,30,3.71591933E9,6,22,65,0.8171859310603236,0.2174232647995505,0.2499563506931435,0.6080713984638453
Natti Natasha,46,3.678965835E9,2,48,50,0.7865153193601528,0.07886581684452754,0.20479346276199742,0.8014776188434919
Zedd,18,3.654465564E9,2,18,64,0.681803967382779,0.0664999952955932,0.2738314448800377,0.4648768072761492
James Arthur,28,3.599618947E9,1,25,66,0.4171846526481445,0.057781206127832996,0.5721441304247182,0.4332241472407782
Lil Baby,89,3.578766491E9,3,33,54,0.8604290730337056,0.3228782843560936,0.07079816032843565,0.4610352041918755
Kanye West,89,3.57835496E9,8,31,69,0.6761359723683866,0.23519095496370623,0.16102625402736176,0.362616381985482
DJ Snake,33,3.536814662E9,6,23,69,0.690367082441764,0.13693743019675395,0.1699870193622458,0.39635637840752935
Ava Max,24,3.529738628E9,2,23,61,0.6828698941958394,0.047912577528909754,0.09999381703970445,0.5760959058390555
Roddy Ricch,33,3.504720838E9,1,13,69,0.8726870331593587,0.09806551239178686,0.14977690627246254,0.6059854423852226
