artist,unique_songs,total_streams,songs_rank_1,number_albums,number_countries,avg_danceability,avg_speechiness,avg_acousticness,avg_valence
CNCO,33,1.327715657E9,1,26,54,0.7302412433730568,0.07530733155104435,0.18011342380715076,0.6032668675517684
A$AP Rocky,39,1.323347261E9,1,21,54,0.81491859824781,0.15780065081351716,0.08095287409261581,0.381120690863579
Cazzu,46,1.315409511E9,2,37,23,0.6915056345928299,0.1700841211564936,0.4212260364081384,0.5692231145785533
Julia Michaels,26,1.296377137E9,0,23,61,0.6570362860192106,0.0810708046958378,0.4582058996798286,0.42566749199573045
Morgan Wallen,36,1.28421239E9,1,12,4,0.5807145393218534,0.031858494585478424,0.45798263802591865,0.5525489082194216
Niall Horan,31,1.257005826E9,0,13,64,0.6463081052304696,0.041677299143782515,0.179237649616255,0.5498869171731496
bbno$,9,1.248650812E9,2,10,68,0.8408592712363582,0.08986340590171471,0.1540767222960089,0.5171978402725662
Prince Royce,20,1.243968708E9,2,20,33,0.7557833257635974,0.08214348529578745,0.3349239548086751,0.6120784603156558
Meek Mill,51,1.240521652E9,1,19,47,0.859830656934308,0.098991699687174,0.23315780917622583,0.5124574556830018
TINI,33,1.223435154E9,5,28,22,0.7272697811797986,0.09359682169897664,0.19973018761960235,0.7003645894001156
6LACK,28,1.208819612E9,1,14,54,0.7716983601126385,0.08160692396885867,0.328409563524929,0.23687918668212743
NF,33,1.208248585E9,1,12,62,0.6647236509684531,0.12501377858392196,0.31110048584569455,0.42542629396903464
MC Kevinho,43,1.205973487E9,3,43,20,0.78520236705233,0.14302067190319503,0.2618831387326187,0.6672101687718924
Ñengo Flow,43,1.203327617E9,1,31,22,0.7453182081092042,0.19035015616866202,0.12390728440048591,0.5265701312973571
Tory Lanez,105,1.184631424E9,1,48,61,0.7832707642420219,0.2213990787825186,0.0951325828727247,0.6062516692460758
Twenty One Pilots,35,1.182555116E9,0,14,66,0.7007174589221725,0.07201916289133789,0.06988527500169024,0.5729093380215029
Lil Tjay,41,1.173556857E9,1,21,52,0.7821027157838135,0.147444017208927,0.3713613157658859,0.29226192524872235
Ali Gatie,13,1.154867565E9,1,13,53,0.7033212307692307,0.045442987412587434,0.4210621258741244,0.3550722517482525
The Creator,55,1.154102552E9,2,11,55,0.5526162081270874,0.1589068262921607,0.2219227097962471,0.4481684586163225
Tyler,55,1.154102552E9,2,11,55,0.5526162081270874,0.1589068262921607,0.2219227097962471,0.4481684586163225
WizKid,24,1.152715036E9,1,17,64,0.790497061332826,0.06696169779125997,0.022279486870793418,0.3972567067968529
Little Mix,56,1.150723629E9,1,36,62,0.6405428040774015,0.08985352885279878,0.11085796890117493,0.6309869557705582
Axwell / Ingrosso,10,1.141989048E9,1,9,60,0.6407575094900149,0.046678189470209644,0.050662531358309844,0.5642255735269847
Rae Sremmurd,22,1.124666732E9,0,10,57,0.7685654744309778,0.08215217262784501,0.11902671218839304,0.3420841363681151
Cheat Codes,23,1.12154541E9,0,23,60,0.6285518823573669,0.11540144044529695,0.07679532814321699,0.49002467185678494
Ufo361,173,1.121140583E9,16,84,6,0.7538768745067086,0.18274068102379085,0.2342285026496786,0.3549464032021649
Nacho,27,1.107710122E9,1,33,21,0.7647647058823519,0.09902179105921048,0.13473030390947988,0.7100162713667452
Big Sean,58,1.10559951E9,1,21,56,0.7313812296227298,0.15474640195621792,0.12958097810898947,0.3124511294829992
Riton,4,1.094520997E9,1,4,50,0.8021089087023804,0.1049978115098373,0.010968189521774393,0.7325505858079725
Wham!,3,1.093429712E9,1,3,69,0.7333799400026081,0.029488574409808305,0.190071240380853,0.9462535541932972
Sfera Ebbasta,70,1.090028725E9,18,28,25,0.742437258687259,0.08708833655083661,0.1251675514800515,0.4586418114543114
Aya Nakamura,52,1.079362301E9,6,21,44,0.786691283964309,0.15559395069819024,0.1726214094873214,0.6266986943590257
Becky Hill,22,1.075268299E9,0,22,61,0.6135683830439733,0.043488257407132566,0.11198109610723653,0.5022457041104015
Jul,352,1.07114864E9,6,81,9,0.8325008974438317,0.14907021724330008,0.3201369452249801,0.723645416847187
Rudimental,19,1.068416681E9,1,16,54,0.6499721434801567,0.05349505560401208,0.1583138541212391,0.5366516572176195
Y2K,1,1.067923294E9,1,1,66,0.8430000000000007,0.0845983658773018,0.1780490236809299,0.49501634122697835
BlocBoy JB,4,1.06564959E9,0,4,53,0.9219243902439035,0.2701033934252385,0.002132078472958643,0.5961693531283131
Arijit Singh,79,1.065257276E9,5,56,2,0.5489910322643536,0.04387140072131789,0.5049229895701332,0.429221415342626
Kyla,3,1.061877167E9,1,3,62,0.7870307122054517,0.05572483452475529,0.008010619539316899,0.3767867619804077
P!nk,32,1.059306212E9,0,24,59,0.5094941585401183,0.091863671912716,0.06045924949309644,0.29985299797238607
Elton John,23,1.057687985E9,1,22,67,0.6559390557309629,0.038176753065570244,0.20608005286731762,0.6845420368602696
Kid Cudi,33,1.056057639E9,1,14,68,0.701958000515331,0.0609258953877866,0.2558146414154428,0.27879915829253704
Ty Dolla $ign,48,1.054295524E9,0,40,55,0.7040177406011577,0.07724556484971042,0.1313963921316296,0.32642981891718004
KYLE,9,1.052313157E9,0,10,53,0.7226455311642483,0.22285936887495156,0.3539378479027828,0.6740902587220684
Zara Larsson,45,1.049682581E9,2,28,67,0.64480459386093,0.062455594069743096,0.20925531092086044,0.4986871998329507
John Legend,31,1.043098687E9,0,26,65,0.44966484167748455,0.048778692780944884,0.7398255302816502,0.4018109160693113
Mark Ronson,15,1.012982519E9,1,15,63,0.618134015211119,0.05591839496459481,0.016072455809074255,0.39242229215840474
Luke Combs,31,1.001812935E9,0,13,7,0.5311144019528073,0.03300224572823435,0.3047168234336859,0.5077801464605373
